filename, language, JavaScript, Markdown, Batch, JSON, HTML, comment, blank, total
LICENSE.md\LICENSE.md, Markdown, 0, 17, 0, 0, 0, 0, 5, 22
README.md, Markdown, 0, 17, 0, 0, 0, 0, 9, 26
app.js, JavaScript, 22, 0, 0, 0, 0, 0, 10, 32
index.test.js, JavaScript, 52, 0, 0, 0, 0, 0, 12, 64
main.js, JavaScript, 51, 0, 0, 0, 0, 3, 20, 74
open_control_panel.bat, Batch, 0, 0, 1, 0, 0, 0, 0, 1
package-lock.json, JSON, 0, 0, 0, 1999, 0, 0, 1, 2000
package.json, JSON, 0, 0, 0, 32, 0, 0, 1, 33
public\js\server\get-boolean.js, JavaScript, 16, 0, 0, 0, 0, 3, 4, 23
public\js\server\queue.js, JavaScript, 18, 0, 0, 0, 0, 28, 9, 55
public\js\server\ticker.js, JavaScript, 41, 0, 0, 0, 0, 13, 9, 63
public\js\server\timer.js, JavaScript, 16, 0, 0, 0, 0, 7, 6, 29
reload-module.js, JavaScript, 23, 0, 0, 0, 0, 9, 7, 39
send_to_list.json, JSON, 0, 0, 0, 4889, 0, 0, 0, 4889
settings\auth.js, JavaScript, 15, 0, 0, 0, 0, 4, 8, 27
settings\server-settings.js, JavaScript, 10, 0, 0, 0, 0, 3, 3, 16
source\activity-tracker.js, JavaScript, 54, 0, 0, 0, 0, 20, 33, 107
source\announcement-scheduler.js, JavaScript, 8, 0, 0, 0, 0, 16, 6, 30
source\commands\bitcorn\bitcorn.js, JavaScript, 58, 0, 0, 0, 0, 3, 19, 80
source\commands\bitcorn\blacklist.js, JavaScript, 102, 0, 0, 0, 0, 3, 20, 125
source\commands\bitcorn\help.js, JavaScript, 35, 0, 0, 0, 0, 3, 10, 48
source\commands\bitcorn\rain.js, JavaScript, 182, 0, 0, 0, 0, 7, 34, 223
source\commands\bitcorn\reg.js, JavaScript, 35, 0, 0, 0, 0, 3, 10, 48
source\commands\bitcorn\tipcorn.js, JavaScript, 189, 0, 0, 0, 0, 3, 34, 226
source\commands\bitcorn\token.js, JavaScript, 72, 0, 0, 0, 0, 3, 16, 91
source\commands\bitcorn\withdraw.js, JavaScript, 127, 0, 0, 0, 0, 4, 21, 152
source\commands\cmd-helper.js, JavaScript, 306, 0, 0, 0, 0, 5, 27, 338
source\commands\moduleloader.js, JavaScript, 19, 0, 0, 0, 0, 3, 3, 25
source\commands\system\enter.js, JavaScript, 16, 0, 0, 0, 0, 3, 3, 22
source\commands\system\reload-mod.js, JavaScript, 37, 0, 0, 0, 0, 3, 5, 45
source\commands\template.js, JavaScript, 17, 0, 0, 0, 0, 3, 3, 23
source\config\api-interface\api-request.js, JavaScript, 68, 0, 0, 0, 0, 3, 17, 88
source\config\api-interface\database-api.js, JavaScript, 162, 0, 0, 0, 0, 80, 40, 282
source\config\api-interface\rooturl.js, JavaScript, 10, 0, 0, 0, 0, 3, 4, 17
source\config\authorize\helix.js, JavaScript, 152, 0, 0, 0, 0, 3, 43, 198
source\config\authorize\kraken.js, JavaScript, 146, 0, 0, 0, 0, 7, 46, 199
source\config\express.js, JavaScript, 23, 0, 0, 0, 0, 3, 12, 38
source\config\router.js, JavaScript, 22, 0, 0, 0, 0, 3, 8, 33
source\config\tmi.js, JavaScript, 497, 0, 0, 0, 0, 23, 104, 624
source\control-panel.js, JavaScript, 119, 0, 0, 0, 0, 1, 19, 139
source\controllers\callback-controller.js, JavaScript, 18, 0, 0, 0, 0, 3, 4, 25
source\controllers\home-controller.js, JavaScript, 8, 0, 0, 0, 0, 3, 2, 13
source\controllers\index.js, JavaScript, 6, 0, 0, 0, 0, 3, 2, 11
source\controllers\login-controller.js, JavaScript, 11, 0, 0, 0, 0, 3, 3, 17
source\sub-ticker.js, JavaScript, 126, 0, 0, 0, 0, 15, 43, 184
source\tmi-commands.js, JavaScript, 139, 0, 0, 0, 0, 3, 26, 168
source\utils\environment.js, JavaScript, 119, 0, 0, 0, 0, 11, 16, 146
source\utils\error-logger.js, JavaScript, 42, 0, 0, 0, 0, 14, 16, 72
source\utils\json-file.js, JavaScript, 35, 0, 0, 0, 0, 3, 6, 44
source\utils\math.js, JavaScript, 9, 0, 0, 0, 0, 3, 5, 17
source\utils\pending.js, JavaScript, 28, 0, 0, 0, 0, 3, 9, 40
source\utils\time.js, JavaScript, 32, 0, 0, 0, 0, 3, 7, 42
src\configs\tmi.js, JavaScript, 58, 0, 0, 0, 0, 14, 14, 86
startserver.bat, Batch, 0, 0, 2, 0, 0, 0, 0, 2
tests\activity-test.js, JavaScript, 33, 0, 0, 0, 0, 3, 17, 53
tests\database-endpoint.js, JavaScript, 27, 0, 0, 0, 0, 3, 11, 41
tests\discord-sync-endpoint.js, JavaScript, 28, 0, 0, 0, 0, 3, 9, 40
tests\execute-command.js, JavaScript, 34, 0, 0, 0, 0, 3, 13, 50
tests\fetch-endpoint.js, JavaScript, 19, 0, 0, 0, 0, 3, 8, 30
tests\new-test.js, JavaScript, 27, 0, 0, 0, 0, 7, 13, 47
tests\stop-ticker-test.js, JavaScript, 11, 0, 0, 0, 0, 3, 5, 19
tests\test-dependencies.js, JavaScript, 36, 0, 0, 0, 0, 3, 5, 44
tests\time-ticker-test.js, JavaScript, 17, 0, 0, 0, 0, 3, 8, 28
tests\web-socket-test.js, JavaScript, 47, 0, 0, 0, 0, 3, 19, 69
views-front\home\index.ejs, HTML, 0, 0, 0, 0, 841, 3, 122, 966
Total, -, 3630, 34, 3, 6920, 841, 396, 1024, 12848